source,target,relation,date,evidence_score,source_doc
1,2,LEADERSHIP,2015-06-16,1.00,FEC_Filings
3,11,CONTACT,2016-06-03,1.00,Email_Chain_Public
3,10,MEETING,2016-06-09,1.00,Trump_Tower_Records
4,10,MEETING,2016-06-09,1.00,Trump_Tower_Records
5,10,MEETING,2016-06-09,1.00,Trump_Tower_Records
5,8,CONTACT,2016-08-02,0.90,Mueller_Report_Vol1
7,9,MEETING,2016-04-27,0.90,Mueller_Report_Vol1
6,9,CONTACT,2016-12-29,0.90,DOJ_Indictment
13,17,CYBER_OPERATION,2016-03-01,0.90,DOJ_Indictment
13,15,LEAK,2016-07-22,0.90,Mueller_Report_Vol1
15,2,MEDIA_AMPLIFICATION,2016-10-07,0.80,Public_Tweets
20,22,INSTITUTIONAL_AUTHORITY,2017-05-17,1.00,DOJ_Order_3915-2017
22,1,INVESTIGATION,2017-05-17,1.00,DOJ_Order
22,5,PROSECUTION,2017-10-30,1.00,Court_Records
23,13,REPORT,2020-08-18,1.00,SSCI_Report_Vol5
24,25,INVESTMENT,2003-05-01,1.00,SEC_Filings
24,30,LEADERSHIP,2005-01-01,1.00,Corporate_Records
30,25,INVESTMENT,2005-01-01,1.00,SEC_Filings
25,29,GOVERNMENT_CONTRACT,2019-12-01,1.00,DoD_Contract_Database
24,1,POLITICAL_SUPPORT,2016-07-21,1.00,RNC_Speech_Transcript
24,28,DONATION,2021-03-15,1.00,FEC_Filings
28,1,POLITICAL_SUPPORT,2021-07-01,1.00,Public_Statements
27,1,POLITICAL_SUPPORT,2024-07-13,1.00,Public_Tweets
