id,name,category,source_type,institutional_access
1,Donald Trump,PERSON,GOVERNMENT,1.0
2,Trump Campaign,CAMPAIGN,POLITICAL,0.75
3,Donald Trump Jr.,PERSON,POLITICAL,0.5
4,Jared Kushner,PERSON,GOVERNMENT,0.75
5,Paul Manafort,PERSON,POLITICAL,0.5
6,Michael Flynn,PERSON,GOVERNMENT,0.75
7,George Papadopoulos,PERSON,POLITICAL,0.25
8,Konstantin Kilimnik,PERSON,FOREIGN_AGENT,0.0
9,Sergey Kislyak,PERSON,FOREIGN_OFFICIAL,0.5
10,Natalia Veselnitskaya,PERSON,FOREIGN_LAWYER,0.0
11,Aras Agalarov,PERSON,BUSINESS,0.0
12,Emin Agalarov,PERSON,BUSINESS,0.0
13,GRU,AGENCY,FOREIGN_GOVT,1.0
14,Internet Research Agency,COMPANY,FOREIGN_ENTITY,0.0
15,WikiLeaks,MEDIA,PLATFORM,0.0
16,Julian Assange,PERSON,MEDIA,0.0
17,DNC,INSTITUTION,POLITICAL,0.5
18,Hillary Clinton,PERSON,POLITICAL,0.75
19,Barack Obama,PERSON,GOVERNMENT,1.0
20,DOJ,AGENCY,GOVERNMENT,1.0
21,FBI,AGENCY,GOVERNMENT,1.0
22,Robert Mueller,PERSON,GOVERNMENT,1.0
23,Senate Intel Committee,AGENCY,GOVERNMENT,1.0
24,Peter Thiel,PERSON,BUSINESS,0.5
25,Palantir,COMPANY,TECHNOLOGY,0.75
26,Alex Karp,PERSON,BUSINESS,0.5
27,Elon Musk,PERSON,BUSINESS,0.5
28,J.D. Vance,PERSON,GOVERNMENT,1.0
29,Department of Defense,AGENCY,GOVERNMENT,1.0
30,Founders Fund,COMPANY,FINANCIAL,0.0
